city,1995,1996,1997,1998,1999,2000,spi,spi_p
Itararé,0,0,0,0,0,0,-1.31548288323328,-0.281665011487814
Itariri,0,0,0,0,0,0,-1.71917867269552,-0.218000028211454
Itatiba,0,0,0,0,0,0,-2.2135781203654,-1.50051268459204
Itatinga,0,0,0,0,0,0,-1.98510931239797,-0.699734934932123
Itirapina,67320,58333,80000,74535,73364,100000,-1.64333027468148,0.35802605669563
Itirapuã,0,0,0,0,0,0,-0.73673232328532,-1.92062625402962
Itobi,80000,66666,80000,80000,80000,80000,-1.17200268211879,-1.06462497073209
Itu,80000,0,65000,65000,65000,84096,-1.85642254074661,-0.842076763491284
Itupeva,75000,50000,50000,50000,50000,70000,-2.22104471239188,-1.05049497732898
Ituverava,80000,80000,80000,80000,80000,68000,-0.700482891327893,-1.4560372408565
Jaborandi,80000,90909,81428,80000,80000,80000,-1.74376327281473,-2.04198599776791
Jaboticabal,87500,82000,92000,82000,82000,75000,-1.39685838281723,-0.225593958118957
Jacareí,0,0,0,0,69000,0,-1.80028231037226,-0.875633989594504
Jaci,0,0,0,0,0,80000,-0.425438364767273,-0.051485007187557
Jacupiranga,50000,50000,0,0,0,0,-2.51223842328581,-0.178576113644604
Jaguariúna,80000,80000,80000,80000,79230,80000,-1.38879916689588,-0.090152974814532
Jales,68000,73000,80000,80000,80000,0,-1.91440491399714,-1.57312507980723
Jambeiro,0,0,0,0,0,60000,-2.05355991351672,-0.830196858135086
Jandira,0,0,0,0,0,0,-2.59877696669957,-1.01354695689744
Jardinópolis,69009,72000,80000,80000,80000,80000,-0.758986563713496,-1.15130925351589
Jarinu,75000,75000,118333,75000,75000,75000,-1.91210737203566,-0.861266574435363
Jaú,87500,85000,85000,85000,85000,75000,-1.41340309242971,-0.126383769304636
Jeriquara,0,100000,70000,100000,100000,100000,-0.594471238834827,-1.66668654111204
Joanópolis,50000,50000,40000,40000,40000,0,-1.79477993110227,-0.753072282347155
João Ramalho,60000,87750,60000,50625,60000,60000,-1.30807030493917,-0.325454087068019
José Bonifácio,100000,100000,100000,100000,100000,100000,-0.947516613878677,0.940354728612924
Júlio Mesquita,70000,70000,80000,0,0,0,-1.66649936527294,-0.679430857458879
Jumirim,0,0,0,0,109971,100000,-1.57383208810619,-1.17110072134201
Jundiaí,0,0,0,0,0,0,-2.2135781203654,-1.50051268459204
Junqueirópolis,70000,80000,78000,58000,55000,50000,-1.92714981597249,-1.04554864181032
Juquiá,0,0,0,0,0,0,-1.77050662602307,-0.512414182307106
Juquitiba,0,0,0,0,0,0,-2.4025776822609,-1.02031756620274
Lagoinha,0,0,0,0,0,0,-1.89403008494264,-1.40537288566062
Laranjal Paulista,80000,80000,80000,80000,70625,70000,-1.68941954706563,-1.0678478821836
Lavínia,80000,80000,85000,85000,85000,85000,-1.8208564184374,-1.42088405240696
Lavrinhas,0,0,0,0,0,0,-0.707387177888841,-0.386629495376957
Leme,73097,81600,85000,91827,75714,75000,-0.722264738524773,0.625606606717983
Lençóis Paulista,73809,74140,74000,75000,75000,60000,-2.09669593111301,-0.624486806760468
Limeira,80000,68181,70000,70000,70000,70000,-1.43614503296594,-0.149870379556237
Lindóia,50000,50000,50000,50000,50000,70000,-1.74047232628289,-0.153740746035651
Lins,78000,77777,95810,85000,80000,80000,-1.00536903444136,-0.36086349868304
Lorena,0,0,0,0,0,0,-0.295728291808956,-0.954166501666562
Lourdes,80000,80000,80000,80000,80000,118333,-1.05893882558011,-0.356273998711909
Louveira,0,0,0,0,0,0,-2.2135781203654,-1.50051268459204
Lucélia,75000,72000,75000,100000,88000,70000,-2.31733745136614,-1.65260569576073
Lucianópolis,0,0,0,0,0,0,-1.91825458750473,-0.263392306929877
Luís Antônio,74228,77873,96414,85000,85000,68000,-1.24404665291598,-0.893384905416569
Luiziânia,74000,0,75000,66000,75000,70000,-1.76332142603735,-0.173489490246562
Lupércio,0,0,0,0,0,0,-2.45275571186181,0.155605489286975
Lutécia,65000,65000,60000,60000,58048,50000,-1.84793697412909,-0.946553327772029
Macatuba,70000,70000,65000,65000,65000,69998,-1.41340309242971,-0.126383769304636
Macaubal,70000,70000,70000,70000,70000,0,-0.752421860176022,0.493571006648783
Macedônia,0,0,0,0,0,0,-0.745500571341449,-1.11630370733916
Magda,84000,80000,96710,97000,97000,65000,-0.857916982268148,-0.816575661997176
Mairinque,0,0,0,0,0,0,-2.32648999935338,-0.877155465963278
Mairiporã,0,0,0,0,0,0,-2.16095909820955,-1.52271523108589
Manduri,82000,82000,80000,80000,80000,0,-2.67484385523816,-1.34264503097564
Marabá Paulista,76859,54993,48013,48799,50000,60000,-2.67858932310352,-1.35482959048753
Maracaí,85000,85000,80000,80000,80000,70000,-1.70196712474077,-0.104758684988927
Marapoama,80000,80000,90000,90000,90000,90000,-1.13934587802723,-0.975977502443483
Mariápolis,0,0,70000,0,0,0,-1.79099082315561,-1.48418689803681
Marília,70000,60416,60416,0,0,0,-2.2006998342229,-0.352229330921378
Marinópolis,0,0,0,0,0,0,-1.8194669318019,-1.40760249728339
Martinópolis,70000,70000,70000,70000,70000,60000,-1.50378478271611,-0.914155740270595
Matão,70000,70806,70000,70000,80000,70000,-1.54681108111568,-0.403359655034317
Mauá,0,0,0,0,0,0,-2.02449096426638,-1.03428314818147
Mendonça,0,80000,100000,100000,85657,70000,-0.857656818286984,1.03861483744262
Meridiano,80000,80000,70000,80000,80000,80000,-0.766176654698361,-0.885861699421129
Mesópolis,0,0,0,0,0,0,-1.83052293812023,-1.97012864268839
Miguelópolis,100000,100000,100000,100000,100000,100000,-1.68983125637847,-2.31414883774052
Mineiros do Tietê,90000,90000,80000,80000,80000,90000,-1.08099408812412,-0.037764291093053
Mira Estrela,0,0,0,0,0,0,-0.527281995325859,-1.27161372005951
Miracatu,0,0,0,0,0,0,-2.04257973643988,-0.597900315912501
Mirandópolis,85000,85000,85000,85000,85000,85000,-1.65132899806583,-0.785951793107924
Mirante do Paranapanema,60369,60000,55035,60000,63000,0,-2.41315330982939,-1.20999743040775
Mirassol,80000,90000,90000,80000,80000,80000,-0.425438364767273,-0.051485007187557
Mirassolândia,0,0,0,0,0,0,-1.18873894559319,-1.80459123541663
